content,score
Apa ini?? Fitur BAGIKAN drngan cara scan barcode malah gak fungsi sama sekali. D scan barcode nya bukan ktp atau dokumen yang muncul malah barcode nya itu sendiri. Mampu gak digitalisasi sistem? Kalo gak mampu mending gak usah.seharusnya mempermudah malah sangat menpersulit,1
"Wahh wahhh saya sebagai lulusan teknik informatika malu sekali melihat aplikasi ini, yang mana era digital serba mempermudah namun aplikasi ini tidak membantu sama sekali, malah bikin pengguna jadi repot harus datang ke instansi berkaitan dg barcode yg harus di dapat di disduk setempat. Hayooo loh aplikasi dibuat supaya waktu pengguna lebih efisien. Terlihat lucu bagi saya ketika sudah mendaftarkan diri , setelah verifikasi wajah, kita diminta untuk ke disduk cuma hanya scan barcode aktivasi.lol",1
"Perbaiki lagi deh apl nya, untuk aktivasi saja dipersulit dengan antri panjang hanya untuk scan barcode. Dan dipersulit lagi dengan tidak bisa Login kembali dikarenakan tukar hp apakah disini kita perlu aktivasi dari awal lagi dan scan ke petugasnya. Tolong diperbaiki aplikasi nya saya tidak bisa login karna tidak pakai hp lama woii.",1
"Aplikasi ini memiliki potensi besar untuk mempermudah akses layanan kependudukan secara digital. Namun, saya merasa kecewa karena beberapa layanan, seperti pemindaian barcode, masih harus dilakukan langsung di kantor Disdukcapil, yang sering kali membutuhkan antrian panjang. Hal ini membuat pengalaman digital terasa setengah-setengah. Harapan saya, ke depannya aplikasi ini bisa benar-benar memenuhi fungsinya secara digital penuh, sehingga masyarakat tidak perlu lagi datang langsung dan antri. Te",1
"Masa sekelas dukcapil ga punya tim it yg mempuni gitu. Bikin aplikasinya sih gampang, tapi ingat fungsi bikin aplikasi itu buat menambah keefisienan dalam pekerjaan. Mempermudah pengguna/user. Tolong diperbaiki aktivasi ny itu ga perlu datang ke kantor ngapain astaga.. contoh lah sistem kyc aplikasi sekarang. Jaman sudah canggih.",1
"Antusiasme masyarakat rendah, kt nya digital..tapi waktu aktivasi hrs datang ke dukcapil/kecamatan buat scan QR. Sama aja itu harus sediain waktu, tenaga dan biaya lagi. Di tambah aplikasi yang msh byk bug, heran sama apk buatan pemerintah..anggaran gede, tapi aplikasi nya ky dibuat asal jadi aja.",1
"Saya download apk ini karna ingin mencetak kartu keluarga terupdate , berhubung saya perantauan ga mungkin kesana selesai dalam sehari sehingga saya ga perlu bulak balik ke Disduk setempat, Setelah saya install dan mendaftar ternyata ga mudah ketika aplikasi meminta barcode setelah perekaman wajah, ini aneh barcode yg mana yg harus saya masukkan dan di mana saya bisa mendapatkan barcode tersebut, Tolong tingkatkan lagi visi misi nya di era digital sekarang. Terimakasih",1
"Era Digital itu ada untuk memudahkan, tetapi kenapa ini malah mempersulit ya? Maaf aplikasi ini menurut saya ga guna, karena sering bug, QR ga fungsi, koneksi bagus luar biasa aja ini aplikasi gamau konek. Tolong dibenahi kalau memang mau upgrade kualitas pelayanannya, jangan malah downgrade.",1
"Aplikasi susah untuk scan barcode alhasil susah untuk memperbarui data"" kependudukan, tolong di hapus saja aplikasi ikd ini, buat sistem seperti dulu yg gak ribet harus digital, kalau yg tidak mempunyai hape bagaimana, tolong di benahi kembali",1
"apk nya ga bisa digunakan sama sekali. sejak pertama download, muter² ""memuat"" aja terus.. stlh tunggu lama muncul keterangan ""terjadi kesalahan koneksi"". pdhl internet bagus, buka apk lain aman² aja 😵",1
